product,description,category,price_start_from
Konsultasi & Assessment Medis Kulit,"Konsultasi dokter + skin analysis (jenis kulit, acne type, barrier, sensitivitas, lifestyle habit) + rekomendasi treatment plan & routine",Skin Health Products,"Rp150,000"
Follow-Up Consultation,Kontrol progres kulit + penyesuaian rencana perawatan,Skin Health Products,"Rp100,000"
Acne Medical Care (Basic),Ekstraksi komedo medis + calming care untuk acne aktif ringan,Skin Health Products,"Rp250,000"
Acne Medical Care (Advanced),Perawatan acne inflamasi + soothing therapy + anti-bacterial protocol,Skin Health Products,"Rp450,000"
Skin Barrier Repair Treatment,"Treatment fokus pemulihan skin barrier (kulit sensitif, over-exfoliated, iritasi)",Skin Health Products,"Rp350,000"
Sensitive Skin Recovery Treatment,"Perawatan untuk kulit sensitif, kemerahan, perih, mudah iritasi",Skin Health Products,"Rp300,000"
Dermatitis / Eczema Light Care,Tindakan medis ringan untuk keluhan dermatitis ringan / eczema ringan (tanpa resep obat),Skin Health Products,"Rp300,000"
Fungal / Skin Infection Light Care,Penanganan infeksi jamur ringan & iritasi kulit (non-invasive),Skin Health Products,"Rp300,000"
Wound & Irritation Care,"Perawatan luka ringan, iritasi, atau post-inflammation skin damage",Skin Health Products,"Rp250,000"
Post-Acne Recovery Care,Perawatan bekas jerawat kemerahan / inflamasi pasca jerawat aktif,Skin Health Products,"Rp350,000"
Post-Treatment Recovery Care,Perawatan pemulihan kulit pasca laser / peeling / treatment berat,Skin Health Products,"Rp300,000"
Skin Health Monitoring Program (4 weeks),Program perawatan kulit 1 bulan: konsultasi awal + 2x kontrol + 2x tindakan medis ringan,Skin Health Products,"Rp900,000"
Acne Recovery Program (8-12 weeks),Program pemulihan jerawat bertahap + monitoring + tindakan medis ringan,Skin Health Products,"Rp1,800,000"
Sensitive Skin Program (4-8 weeks),Program khusus kulit sensitif + pemulihan barrier + edukasi routine,Skin Health Products,"Rp1,200,000"
Medical Skincare Routine Setup,"Penyusunan routine skincare medis (cleanser, sunscreen, barrier repair, acne control)",Skin Health Products,"Rp150,000"
Medical Skincare Starter Kit,Paket produk skincare medis (cleanser + sunscreen + treatment cream),Skin Health Products,"Rp350,000"
