product,description,category,price_start_from
Instant Acne Treatment,"Treatment injeksi langsung ke area jerawat, efektif meredakan jerawat meradang dalam 15 menit.",Injectables Treatment,"Rp255,000"
Skin Booster by Xela Rederm,"Skin booster kombinasi Hyaluronic Acid & Succinic Acid untuk regenerasi kulit, produksi kolagen, mengatasi hiperpigmentasi/bekas jerawat, aman untuk kulit sensitif.",Injectables Treatment,"Rp5,500,000"
Intra Lession Injection,"Injeksi untuk mengurangi peradangan dan mengecilkan keloid, sekitar 15 menit tergantung area.",Injectables Treatment,"Rp255,000"
Microtox Series,"Injeksi botulinum toxin + Hyaluronic Acid & Multipeptide untuk kulit mulus tanpa kerutan, pori halus, dan cerah dalam 1x injeksi.",Injectables Treatment,"Rp5,025,000"
Fat Away Mesotherapy,"Injeksi vitamin, enzim, hormon, ekstrak tumbuhan untuk mengurangi lemak berlebih, rejuvenasi, dan mengencangkan kulit.",Injectables Treatment,"Rp865,000"
Fat Dissolving Injection by Pluryal,"Injeksi serum mesoline face contour untuk mengurangi lemak wajah & tubuh agar wajah lebih tirus dan tubuh lebih langsing.",Injectables Treatment,"Rp1,360,000"
Age Reversal Filler by Aesthefill,"Filler generasi terbaru dengan PDLLA untuk stimulasi kolagen, mengatasi volume loss, kerutan, dan mengencangkan kulit. Bertahan 18-24 bulan.",Injectables Treatment,"Rp12,000,000"
Face Contouring by Profhilo Structura,"Injectable berbasis Hyaluronic Acid untuk perbaikan struktur wajah, efek lifting natural, meningkatkan kolagen-elastin hingga 12x dan hidrasi 20%.",Injectables Treatment,"Rp10,000,000"
Botulinum Toxin Injection,"Injeksi Botox/Lanzox/Xeomin/Letybo untuk mengurangi kerutan dinamis di dahi, sekitar mata, garis senyum, dan membentuk wajah V-shape.",Injectables Treatment,"Rp800,000"
Face Sculpting by Filler,"Injeksi filler Hyaluronic Acid untuk mengisi area cekung dan membentuk pipi/dagu agar wajah lebih simetris dan proporsional.",Injectables Treatment,"Rp5,510,000"
Active Acne Laser By Pro Yellow,"Laser aman untuk jerawat aktif & kemerahan, mengecilkan pembuluh darah, mengurangi minyak, dan mematikan bakteri penyebab jerawat.",Laser Treatment,"Rp1,525,000"
Pigmentation Laser,"Laser Q-switched Nd:YAG untuk hiperpigmentasi seperti melasma, freckles, bintik penuaan, dan bekas jerawat, meratakan dan mencerahkan kulit.",Laser Treatment,"Rp1,010,000"
Tattoo Removal Laser,"Laser untuk menghilangkan atau memudarkan tato dengan memecah partikel tinta.",Laser Treatment,"Rp2,325,000"
Pico Tattoo Removal Laser,"Laser Picosecond yang memecah partikel tinta lebih cepat dan dalam, efektif untuk tato pekat dan kompleks.",Laser Treatment,"Rp1,975,000"
Black Carbon Laser,"Laser dengan carbon peel lotion untuk memaksimalkan photothermal dan rejuvenasi kulit menyeluruh tanpa melukai kulit.",Laser Treatment,"Rp1,810,000"
Instaradiance Laser,"Laser Low Fluence dengan energi lembut untuk mencerahkan kulit dalam 1x treatment, aman untuk area sekitar.",Laser Treatment,"Rp999,000"
Photorejuvenation Laser,"Laser Q-Switched Nd:YAG pada lapisan dermis untuk produksi kolagen, perbaikan tekstur, mengecilkan pori, dan meratakan warna kulit.",Laser Treatment,"Rp1,710,000"
Photorejuvenation Laser for Sensitive Skin,"Laser efektif dan lebih aman untuk kulit kusam, hiperpigmentasi, dan warna tidak merata, khusus kulit sensitif.",Laser Treatment,"Rp1,525,000"
CO2 Laser,"Laser ablatif presisi untuk menghilangkan lesi kulit seperti tahi lalat, skin tag, kutil, dan keratosis dengan risiko minimal.",Laser Treatment,"Rp510,000"
Melasma Laser,"Laser Helios III & Spectra untuk memudarkan melasma/flek hitam membandel tanpa merusak permukaan kulit.",Laser Treatment,"Rp1,260,000"
Fractional CO2,"Laser fraksional titik-titik kecil untuk bekas jerawat cekung, perawatan lebih efektif dan cepat dengan risiko rendah.",Laser Treatment,"Rp1,660,000"
Scar Treatment by Picosure,"Picosure Laser (USA) picosecond yang merangsang kolagen-elastin baru untuk mengatasi depressed scar (bopeng jerawat).",Laser Treatment,"Rp2,025,000"
Light Peeling,"Peeling konsentrasi ringan untuk mengangkat sel kulit mati, menyamarkan bercak hitam, dan mencerahkan kulit kusam.",Peeling Treatment,"Rp525,000"
Panda Eyes Rejuvenation Peeling,"Peeling kombinasi Lactic Acid & TCA khusus area sekitar mata agar lebih cerah, segar, dan sehat.",Peeling Treatment,"Rp329,000"
Ultra Smooth Peach Lip Peeling,"Peeling bibir dengan Lactic Acid 30% untuk mengangkat sel kulit mati, melembapkan, dan mengembalikan warna alami bibir.",Peeling Treatment,"Rp269,000"
Ultimate Radiance with Magic Glow Drops,"Kombinasi microdermabrasion & IPL untuk mengangkat sel kulit mati, regenerasi, dan mengatasi pigmentasi, kemerahan, serta tanda penuaan.",Peeling Treatment,"Rp1,100,000"
Ultra Bright Intimate Peeling,"Peeling area bikini untuk mengangkat sel kulit mati dan mencerahkan area secara aman dan terkontrol.",Peeling Treatment,"Rp499,500"
Glow and Go (Microdermabrassion),"Crystal Dermabrasion dengan brightening serum untuk menghaluskan tekstur kulit.",Peeling Treatment,"Rp635,000"
Retinol Peeling,"Peeling yang mencerahkan kulit kusam, menyamarkan noda hitam, dan meratakan warna kulit lewat regenerasi dan kolagen.",Peeling Treatment,"Rp550,000"
Comedo Peeling,"Peeling untuk mengangkat sel kulit mati, menstimulasi kolagen, mengurangi minyak, membersihkan pori, dan meredakan jerawat ringan/komedo.",Peeling Treatment,"Rp495,000"
Acne Peeling (Face & Body),"Peeling wajah & tubuh untuk mengurangi minyak, mengangkat sel kulit mati, mengobati dan mencegah jerawat, serta mengurangi peradangan.",Peeling Treatment,"Rp525,000"
Post Acne Peeling (Face & Body),"Peeling kombinasi BHA + TCA untuk mengurangi bekas jerawat PIH.",Peeling Treatment,"Rp595,000"
Ekstraksi Milia,"Tindakan mengeluarkan sumbatan keratin pada kulit dengan jarum kecil dan ekstraktor komedo.",Peeling Treatment,"Rp300,000"
Crystal Glow Peeling,"Peeling untuk mengangkat sel kulit mati agar kulit lebih halus, cerah, bersih, dan glowing.",Peeling Treatment,"Rp845,000"
Active Acne IPL (Face & Body),"IPL dengan serum untuk menghempaskan jerawat aktif, membunuh bakteri, dan menyeimbangkan kulit berminyak.",Light Therapy,"Rp475,000"
Blue Light Therapy,"Sinar biru yang membunuh bakteri P-acnes penyebab jerawat, aman untuk ibu hamil dan menyusui, cocok untuk jerawat aktif dan meradang.",Light Therapy,"Rp227,500"
Post Acne Redness Fade Away by IPL,"IPL + serum aktif untuk meredakan jerawat meradang, membasmi bakteri, dan menyeimbangkan kulit berminyak.",Light Therapy,"Rp475,000"
Post Acne Dark Spot Fade Away by IPL,"Kombinasi chemical peeling + IPL untuk mengurangi bekas jerawat kehitaman, mencerahkan, dan meratakan warna kulit. Aman untuk kulit sensitif.",Light Therapy,"Rp650,000"
NB-UVB by Excimer Light,"Sinar laser khusus untuk bercak atau area kulit bermasalah, diarahkan langsung tanpa merusak kulit sekitar (area kecil).",Light Therapy,"Rp275,000"
NB-UVB Chamber,"Sinar UVB dengan panjang gelombang tertentu di dalam UVB Chamber untuk lesi setempat atau seluruh badan.",Light Therapy,"Rp200,000"
IPL Hair Removal,"Menghilangkan bulu (ketiak, lengan, kaki, bibir) dengan IPL dilengkapi Cooling Contact untuk kenyamanan dan minim efek samping.",Light Therapy,"Rp399,000"
