name,day,hours,profile_url
"Dr. Cut Samira Samsul M.Ked(DV), Sp.D.V.E",Senin,09.00 - 11.00,https://www.halodoc.com/tanya-dokter/dr-cut-samira-samsul-m-ked-dv-sp-d-v-e
"Dr. Cut Samira Samsul M.Ked(DV), Sp.D.V.E",Rabu,13.00 - 16.00,https://www.halodoc.com/tanya-dokter/dr-cut-samira-samsul-m-ked-dv-sp-d-v-e
"Dr. Cut Samira Samsul M.Ked(DV), Sp.D.V.E",Minggu,10.00 - 14.00,https://www.halodoc.com/tanya-dokter/dr-cut-samira-samsul-m-ked-dv-sp-d-v-e
Dr. Riefka Ananda Zulfa Sp.D.V.E,Selasa,13.00 - 16.00,https://www.halodoc.com/tanya-dokter/dr-riefka-ananda-zulfa-sp-d-v-e
Dr. Riefka Ananda Zulfa Sp.D.V.E,Kamis,09.00 - 11.00,https://www.halodoc.com/tanya-dokter/dr-riefka-ananda-zulfa-sp-d-v-e
Dr. Riefka Ananda Zulfa Sp.D.V.E,Sabtu,10.00 - 14.00,https://www.halodoc.com/tanya-dokter/dr-riefka-ananda-zulfa-sp-d-v-e
Dr. Aurora Pelangi Fajriana Sp.D.V.E,Rabu,09.00 - 11.00,https://www.halodoc.com/tanya-dokter/dr-aurora-pelangi-fajriana-sp-d-v-e
Dr. Aurora Pelangi Fajriana Sp.D.V.E,Jumat,10.00 - 14.00,https://www.halodoc.com/tanya-dokter/dr-aurora-pelangi-fajriana-sp-d-v-e
Dr. Andi Nurhaerani Zainuddin Sp.D.V.E,Senin,13.00 - 16.00,https://www.halodoc.com/tanya-dokter/dr-andi-nurhaerani-zainuddin-sp-d-v-e
Dr. Andi Nurhaerani Zainuddin Sp.D.V.E,Kamis,13.00 - 16.00,https://www.halodoc.com/tanya-dokter/dr-andi-nurhaerani-zainuddin-sp-d-v-e
Dr. Adelia Martalova. AJ Sp.D.V.E,Senin,10.00 - 14.00,https://www.halodoc.com/tanya-dokter/dr-adelia-martalova-aj-sp-d-v-e
Dr. Adelia Martalova. AJ Sp.D.V.E,Selasa,09.00 - 11.00,https://www.halodoc.com/tanya-dokter/dr-adelia-martalova-aj-sp-d-v-e
Dr. Adelia Martalova. AJ Sp.D.V.E,Jumat,09.00 - 11.00,https://www.halodoc.com/tanya-dokter/dr-adelia-martalova-aj-sp-d-v-e
Dr. Fiska Rosita Sp.D.V.E,Selasa,10.00 - 14.00,https://www.halodoc.com/tanya-dokter/dr-fiska-rosita-sp-d-v-e
Dr. Fiska Rosita Sp.D.V.E,Sabtu,09.00 - 11.00,https://www.halodoc.com/tanya-dokter/dr-fiska-rosita-sp-d-v-e
Dr. Fitria Sartika Sp.D.V.E,Rabu,10.00 - 14.00,https://www.halodoc.com/tanya-dokter/dr-fitria-sartika-sp-d-v-e
Dr. Fitria Sartika Sp.D.V.E,Jumat,13.00 - 16.00,https://www.halodoc.com/tanya-dokter/dr-fitria-sartika-sp-d-v-e
Dr. Fitria Sartika Sp.D.V.E,Minggu,09.00 - 11.00,https://www.halodoc.com/tanya-dokter/dr-fitria-sartika-sp-d-v-e
Dr. Natalia Widjaja Sp.D.V.E,Kamis,10.00 - 14.00,https://www.halodoc.com/tanya-dokter/dr-natalia-widjaja-sp-d-v-e
Dr. Natalia Widjaja Sp.D.V.E,Sabtu,13.00 - 16.00,https://www.halodoc.com/tanya-dokter/dr-natalia-widjaja-sp-d-v-e
Dr. Natalia Widjaja Sp.D.V.E,Minggu,13.00 - 16.00,https://www.halodoc.com/tanya-dokter/dr-natalia-widjaja-sp-d-v-e
